361,Antoni,Kowalski,2018-07-15,man,Gdynia Marynarki Polskiej 23 49 a/5,rkowalski@gmail.com,13
362,Antonina,Zajac,2018-08-25,woman,Gdynia Starowiejska 73 a/6,czajac@gmail.com,13
363,Grzegorz,Przybylski,2018-09-11,man,Gdynia Wzgorze Sw. Maksymiliana 80 c/3,mprzybylski@gmail.com,13
364,Franciszek,Sawicki,2018-10-09,man,Gdynia Akademicka 4 b/2,tsawicki@gmail.com,13
365,Igor,Kubiak,2018-11-02,man,Gdynia Derdowskiego 54 b/8,rkubiak@gmail.com,13
366,Lena,Kowalik,2018-12-28,woman,Gdynia Jana z Kolna 65 b/10,kkowalik@gmail.com,13
367,Ksawery,Wlodarczyk,2018-01-07,man,Gdynia Abrahama 47 b/3,jwlodarczyk@gmail.com,13
368,Anna,Szewczyk,2018-02-15,woman,Gdynia Komuny Paryskiej 3 b/1,dszewczyk@gmail.com,13
369,Marcel,Krol,2018-03-25,man,Gdynia Morska 65 a/4,nkrol@gmail.com,13
370,Arkadiusz,Dudi,2018-04-06,man,Gdynia Derdowskiego 74 c/2,pdudi@gmail.com,13
371,Arkadiusz,Kaminski,2018-05-10,man,Gdynia Kosciuszki 20 a/1,lkaminski@gmail.com,13
372,Antoni,Nowakowski,2018-06-28,man,Gdynia Wzgorze Nawiedzenia 43 c/4,pnowakowski@gmail.com,13
373,Barbara,Pawlak,2018-07-15,woman,Gdynia Wiejska 70 c/2,kpawlak@gmail.com,13
374,Hanna,Kaminska,2018-08-24,woman,Gdynia Wladyslawa IV 80 b/8,ekaminska@gmail.com,13
375,Agata,Sadowska,2018-09-11,woman,Gdynia Pucka 34 a/3,isadowska@gmail.com,13
376,Dominik,Bednarczyk,2018-10-18,man,Gdynia Armii Krajowej 18 a/10,ebednarczyk@gmail.com,13
377,Robert,Tomaszewski,2018-11-01,man,Gdynia Chwarznienska 83 c/7,ctomaszewski@gmail.com,13
378,Stanislaw,Kowalewski,2018-12-22,man,Gdynia Morska 46 c/6,bkowalewski@gmail.com,13
379,Blazej,Kaczmarczyk,2018-01-18,man,Gdynia Swietokrzyska 84 c/1,jkaczmarczyk@gmail.com,13
380,Wojciech,Pawlowicz,2018-02-03,man,Gdynia Hutnicza 52 a/1,zpawlowicz@gmail.com,13
381,Oliwier,Kwiatkowski,2018-03-26,man,Gdynia Armii Krajowej 61 c/8,ikwiatkowski@gmail.com,13
382,Monika,Jankowska,2018-04-11,woman,Gdynia Jana z Kolna 61 a/9,bjankowska@gmail.com,13
