1,Martyna,Kozlowska,1987-09-25,woman,Gdynia Derdowskiego 55 a/3,2003-07-14,mkozlowska@gmail.com
2,Mateusz,Wozniak,1981-11-14,man,Gdynia Jana z Kolna 63 b/4,2002-10-29,mwozniak@gmail.com
3,Wiktoria,Krawczyk,1985-03-06,woman,Gdynia Wiczlina 22 c/4,2007-03-05,wkrawczyk@gmail.com
4,Laura,Krawczyk,1976-07-02,woman,Gdynia Armii Krajowej 46 a/6,2010-09-21,lkrawczyk@gmail.com
5,Barbara,Grabowska,1988-05-19,woman,Gdynia Paderewskiego 28 b/5,2006-05-17,bgrabowska@gmail.com
6,Aleksandra,Jankowska,1992-10-30,woman,Gdynia Swietokrzyska 77 a/9,2009-12-03,ajankowska@gmail.com
7,Nadia,Jankowska,1983-12-21,woman,Gdynia Jana z Kolna 3 a/7,2004-08-26,njankowska@gmail.com
8,Karolina,Kwiatkowska,1989-04-11,woman,Gdynia Kosciuszki 23 c/9,2005-11-09,kkwiatkowska@gmail.com
9,Nikola,Nowak,1980-08-09,woman,Gdynia Jana z Kolna 94 c/6,2008-01-12,nnowak@gmail.com
10,Martyna,Krawczyk,1975-01-18,woman,Gdynia Chwarznienska 5 b/9,2010-04-28,mkrawczyk@gmail.com
11,Aleksandra,Wojciechowska,1993-06-28,woman,Gdynia Morska 96 a/8,2002-12-17,awojciechowska@gmail.com
12,Magdalena,Kaminska,1974-09-23,woman,Gdynia Marynarki Polskiej 23 89 c/5,2003-04-01,mkaminska@gmail.com
13,Klara,Kowalska,1972-12-05,woman,Gdynia Kielecka 56 b/4,2006-07-23,kkowalska@gmail.com
14,Lilianna,Piotrowska,1977-02-15,woman,Gdynia Paderewskiego 32 b/10,2007-09-06,lpiotrowska@gmail.com
15,Antonina,Jankowska,1971-06-07,woman,Gdynia Powstania Styczniowego 94 b/5,2009-01-30,ajankowska@gmail.com
16,Kornelia,Krawczyk,1994-01-20,woman,Gdynia Swietojanska 54 a/8,2008-11-15,kkrawczyk@gmail.com
17,Nadia,Wojcik,1984-07-12,woman,Gdynia Swietokrzyska 7 b/3,2004-01-27,nwojcik@gmail.com
18,Agata,Nowak,1990-11-03,woman,Gdynia Komuny Paryskiej 82 c/8,2011-06-10,anowak@gmail.com
19,Jagoda,Mazur,1986-04-25,woman,Gdynia Polska 56 b/5,2005-02-13,jmazur@gmail.com
20,Aleksandra,Kowalska,1982-08-17,woman,Gdynia Starowiejska 16 b/5,2003-10-05,akowalska@gmail.com
21,Laura,Dabrowska,1973-03-29,woman,Gdynia Hutnicza 2 b/4,2008-04-14,ldabrowska@gmail.com
22,Aleksandra,Lewandowska,1991-09-07,woman,Gdynia Slowackiego 97 b/4,2009-07-28,alewandowska@gmail.com
23,Michalina,Szymanska,1979-05-31,woman,Gdynia Polska 27 b/1,2006-03-09,mszymanska@gmail.com
24,Jagoda,Kowalczyk,1978-10-13,woman,Gdynia Derdowskiego 12 c/4,2010-10-02,jkowalczyk@gmail.com
25,Wiktoria,Krawczyk,1987-08-04,woman,Gdynia Powstania Styczniowego 69 c/3,2007-05-06,wkrawczyk@gmail.com
26,Nikola,Nowak,1988-12-26,woman,Gdynia Derdowskiego 33 a/9,2002-06-19,nnowak@gmail.com
27,Nikola,Wozniak,1970-02-24,woman,Gdynia Chwarznienska 5 a/1,2004-12-08,nwozniak@gmail.com
28,Aleksandra,Krawczyk,1995-03-16,woman,Gdynia Marynarki Polskiej 23 88 c/1,2011-02-18,akrawczyk@gmail.com
29,Jagoda,Dabrowska,1994-09-02,woman,Gdynia Paderewskiego 9 a/10,2005-08-01,jdabrowska@gmail.com
30,Gabriela,Wojciechowska,1976-11-09,woman,Gdynia Legionow 59 b/10,2010-01-25,gwojciechowska@gmail.com
